name	provider	accession	tax_id	annotation	species	other_info
ViralProj15510	NCBI	GCF_000865685.1	337050	True	Human papillomavirus type 53	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ViralProj15511	NCBI	GCF_000866505.1	337051	True	Human papillomavirus 5	NCBI
ViralProj62179	NCBI	GCF_000888015.1	1513257	True	Human papillomavirus 132	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ViralProj62175	NCBI	GCF_000891495.1	1175851	True	Human papillomavirus 129	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ViralProj14028	NCBI	GCF_000838505.1	333930	True	Human papillomavirus type 60	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ViralProj15424	NCBI	GCF_000862685.1	931244	True	Human papillomavirus type 90	Microbiology & Immunology, Albert Einstein College of Medicine
ViralProj34847	NCBI	GCF_000883655.1	1175848	True	Human papillomavirus 108	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ViralProj39691	NCBI	GCF_000884175.1	1175851	True	Human papillomavirus 116	Blood Systems Research Institute
ViralProj289889	NCBI	GCF_001184845.1	2169902	True	Human papillomavirus 201	Laboratory Medicine, Karolinska Institutet
ViralProj14027	NCBI	GCF_000839365.1	333928	True	Human papillomavirus type 48	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ViralProj15488	NCBI	GCF_000864825.1	334209	True	Human papillomavirus type 96	NCBI
ViralProj15508	NCBI	GCF_000864925.1	337048	True	Human papillomavirus type 32	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
ViralProj49377	NCBI	GCF_000889075.1	1175852	True	Human papillomavirus 121	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj62171	NCBI	GCF_000889675.1	1513258	True	Human papillomavirus 128	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ViralProj62181	NCBI	GCF_000889695.1	1175849	True	Human papillomavirus 134	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ViralProj215652	NCBI	GCF_000912535.1	1513260	True	Human papillomavirus 179	Kocjan B.J., Ljubljana, Institute of Microbiology and, Immunology, Faculty of Medicine, Univers, Zaloska 4, Ljubljana, 1000, SLOVENIA
ViralProj229821	NCBI	GCF_000913075.1	1961678	True	Human papillomavirus 167	Genetic Department, Peking University Cancer Hospital & Institute
ViralProj283065	NCBI	GCF_000989155.1	1647924	True	Human papillomavirus KC5	Genetic Department, Peking University Cancer Hospital & Institute
ViralProj293723	NCBI	GCF_001274345.1	10566	True	Human papillomavirus	Laboratory Medicine, Karolinska Institutet
ViralProj36517	NCBI	GCF_000882135.1	1175850	True	Human papillomavirus 112	Department of Medical Microbiology, Institution of Laboratory Medicine
ViralProj14327	NCBI	GCF_000841625.1	333929	True	Human papillomavirus type 50	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
